SchoolID, TeacherID, SubjectID, SubjectCode, SubjectName, YearID, DivisionID, Division, SemesterID, Semester, BranchID, Branch,DepartmentID, Department, CourseLevel, AcademicYear
COEP,410906027,438,EF-15002,Foundation of Mechanical Engineering,11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
COEP,411425052,423,MA-15001,"Linear Algebra, Sequences and Series",11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
COEP,410319002,424,PH-15001,Optics and Modern Physics,11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
COEP,410319002,425,PH-15002,Optics and Modern Physics Laboratory,11,4299,Div-10,5,Semester I,3,Computer Engineering,8,,UG,2015
COEP,419817002,428,CH-15001,Applied Chemistry,11,4299,Div-10,9,Semester I,5,Information Technology ,8,,UG,2015
COEP,419817002,431,CH-15002,Applied Chemistry Laboratory  ,11,4299,Div-10,9,Semester I,5,Information Technology ,8,,UG,2015
COEP,411402063,439,EF-15004,Computer Programming,11,4299,Div-10,9,Semester I,5,Information Technology ,8,,UG,2015
COEP,411402063,285,CT-11002,Computer Programming LAB,11,4299,Div-10,9,Semester I,5,Information Technology ,8,,UG,2015
COEP,411404054,440,ETC-15001,Electronics and Computer Workshop,11,4299,Div-10,9,Semester I,5,Information Technology ,8,,UG,2015
COEP,410906027,438,EF-15002,Foundation of Mechanical Engineering,11,4299,Div-10,9,Semester I,5,Information Technology ,8,,UG,2015
COEP,411425052,423,MA-15001,"Linear Algebra, Sequences and Series",11,4299,Div-10,9,Semester I,5,Information Technology ,8,,UG,2015
