SchoolID, SubjectID, SubjectCode, Subject, SubjectType, SubjectShortName, SubjectCredit
COEP,427,PH-15003,Solid State Physics and Statistical Thermodynamics ,Theory,SSPST,3
COEP,428,CH-15001,Applied Chemistry,Theory,AC,3
COEP,429,PH-15004,Solid State Physics Laboratory ,Laboratory,SSPL,1
COEP,431,CH-15002,Applied Chemistry Laboratory  ,Laboratory,ACL,1
COEP,432,PH-15005,Semiconductor Physics and Electromagnetism  ,Theory,SPE,3
COEP,433,PH-15006,Semiconductor Physics Laboratory ,Laboratory,SPL,1
COEP,434,EF-15001,Basic Electrical Engineering,Theory,BEE,3
COEP,435,EF-15003,Computer Aided Engineering Drawing ,Theory,CAED,2
COEP,435,EF-15003,Computer Aided Engineering Drawing ,Theory,CAED,3
COEP,436,PE-15001,Mechanical Fab Shop,Laboratory,MFS,2
COEP,437,HS-15001,Professional Communication ,Theory,PC,2
COEP,438,EF-15002,Foundation of Mechanical Engineering,Theory,FME,3
COEP,439,EF-15004,Computer Programming,Theory,CP,3
COEP,440,ETC-15001,Electronics and Computer Workshop,Laboratory,ECW,1
COEP,441,EF-15005,Basic Electronics Engineering,Theory,BEE,3
COEP,442,EF-15006,Engineering Mechanics,Theory,EM,3
COEP,443,MA-15003,Computational Methods in Engineering,Theory,CME,3
COEP,445,MA-15005,"Experimental Designs, Data Analysis and Quality Control",Theory,EDDAQC,3
COEP,446,MA-12004,Engineering Mathematics-III,Theory,M-III,4
COEP,447,CE-15001,Building Construction and Materials,Theory,BCM,3
COEP,448,MA-12005,Foundation of Mathematics-I,Theory,FOM-I,4
COEP,449,CE-15002,Strength of Materials,Theory,SOM,3
COEP,449,CE-15002,Strength of Materials,Theory,SOM,3
COEP,451,CE-15003,Concrete Technology,Theory,CT,3
COEP,451,CE-15003,Concrete Technology,Theory,CT,3
COEP,452,MA-12006,Foundation of Mathematics-II,Theory,FOM-II,4
COEP,452,MA-12006,Foundation of Mathematics-II,Theory,FOM-II,4
COEP,454,MA-12007,Mathematics and Statistics -III for Planners,Theory,Stats-III,4
COEP,456,ET-12001,Electonic Devices and Circuits,Theory,EDC,4
COEP,458,ET-12002,Digital System Design,Theory,DSD,3
COEP,459,ET-12003,Signals and Systems,Theory,SS,3
COEP,460,ET-12004,Network Synthesis and Analog Filters,Theory,NSAF,3
COEP,461,ET-12005,Electronic Devices and Circuits Lab,Laboratory,EDCL,1
COEP,462,ET-12006,Digital System Design Lab,Laboratory,DSDL,1
COEP,463,ET-12007,Network Synthesis and Analog Filters Lab,Laboratory,NSAFL,1
COEP,464,ML-12001,Environmental Studies,Theory,ES,2
COEP,464,ML-12001,Environmental Studies,Theory,ES,2
COEP,464,ML-12001,Environmental Studies,Theory,ES,0
COEP,465,BP-12001,Mathematics and Statistics III for planners,Theory,Quant techniques,3
COEP,466,BP-12002,Planning Theory-I,Theory,PT,3
COEP,467,HS-12001,Settlement  Geography and Urbanization,Theory,SGU,3
COEP,468,BP-12003,Techniques of planning - II,Theory,TOP I,3
COEP,469,BP-12004,Computer Aided Design In Planning,Tutorial,CADP,2
COEP,470,BP-12005,Traffic and Transportation Planning -I,Theory,TTP I,3
COEP,471,BP-12006,Planning and Design Lab - III,Studio,PDL III,5
COEP,472,BP-12007,Introduction to Economics,Theory,Eco,2
COEP,473,EE-12001,Solid State Devices and Linear Circuits,Theory,SDLC,4
COEP,474,EE-12002,Electrical Circuit Analysis,Theory,ECA,4
COEP,475,EE-12003,Solid State Devices and Linear Circuit lab,Laboratory,SDLC-LAB,2
COEP,477,EE-12004,Numerical Methods and Computer Programming Lab,Laboratory,NMCP-LAB,3
COEP,478,EE-12005,Electrical and Electronics Measurements,Theory,EEM,3
COEP,480,EE-15001,Measurement Lab,Laboratory,EEM-LAB,1
COEP,489,CT-12001,Digital Systems,Theory,DS,3
COEP,490,CT-12002,Data Structures ,Theory,Data Structures,4
COEP,501,IE-12001,Transducers I,Theory,TR1,3
COEP,502,IE-12002,Analog Techniques,Theory,AT,3
COEP,503,IE-12003,Electrical Measurement and Instrumentation,Theory,EMI,3
COEP,504,IE-12004,Transducers I Laboratory ,Laboratory,TR1-LAB,2
COEP,505,IE-12005,Analog Techniques Laboratory,Laboratory,AT-LAB,2
COEP,506,IE-12006,Electrical Measurement and Instrumentation Laboratory,Laboratory,EMI-LAB,2
COEP,508,MT-12001,Structure & Properties Of Materials ,Theory,SPM,3
COEP,511,MT-12002,Principles Of Physical Metallurgy,Theory,PPM,3
COEP,512,PE-15004,Production Processes,Theory,PP,3
COEP,512,PE-15004,Production Processes,Theory,PP,4
COEP,513,MT-12003,Geology & Ore Dressing,Theory,GOD,3
COEP,514,AS-12001,Foundation of Physics ,Theory,FOP,3
COEP,516,MT-12004,Electrical & Instrumentation Technology,Theory,EIT,3
